doid_id	doid_name	entrez_gene_id	gene_symbol	sources	license
DOID:2531	Hematologic cancer	25	ABL1	DISEASES|DisGeNET	
DOID:2531	Hematologic cancer	27	ABL2	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	54	ACP5	DISEASES	DISEASES
DOID:2531	Hematologic cancer	113	ADCY7	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	142	PARP1	DISEASES|DisGeNET	
DOID:2531	Hematologic cancer	207	AKT1	DISEASES	DISEASES
DOID:2531	Hematologic cancer	213	ALB	DISEASES	DISEASES
DOID:2531	Hematologic cancer	238	ALK	DISEASES	DISEASES
DOID:2531	Hematologic cancer	240	ALOX5	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	249	ALPL	DISEASES	DISEASES
DOID:2531	Hematologic cancer	250	ALPP	DISEASES	DISEASES
DOID:2531	Hematologic cancer	251	ALPPL2	DISEASES	DISEASES
DOID:2531	Hematologic cancer	290	ANPEP	DISEASES	DISEASES
DOID:2531	Hematologic cancer	302	ANXA2	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	307	ANXA4	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	308	ANXA5	DISEASES|DisGeNET	
DOID:2531	Hematologic cancer	309	ANXA6	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	329	BIRC2	DISEASES|DisGeNET	
DOID:2531	Hematologic cancer	330	BIRC3	DISEASES|DisGeNET	
DOID:2531	Hematologic cancer	331	XIAP	DISEASES	DISEASES
DOID:2531	Hematologic cancer	332	BIRC5	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	355	FAS	DISEASES|DisGeNET|GWAS Catalog	
DOID:2531	Hematologic cancer	356	FASLG	DISEASES	DISEASES
DOID:2531	Hematologic cancer	366	AQP9	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	367	AR	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	406	ARNTL	DisGeNET	ODbL 1.0
DOID:2531	Hematologic cancer	440	ASNS	DISEASES	DISEASES
DOID:2531	Hematologic cancer	472	ATM	DISEASES	DISEASES
