abbrev	attempts	complete	cumulative_attempts	duplicate	excluded	metaedge	same_edge	self_loop	unchanged	undirected_duplicate	permutation
PCiC	5480	0.10001	5479	0.11277	0	Pharmacologic Class - includes - Compound	0	0	0.42431	0	1
PCiC	5479	0.2	10958	0.1106	0	Pharmacologic Class - includes - Compound	0.00018252	0	0.20276	0	1
PCiC	5479	0.29999	16437	0.10659	0	Pharmacologic Class - includes - Compound	0	0	0.11351	0	1
PCiC	5479	0.39998	21916	0.1086	0	Pharmacologic Class - includes - Compound	0.00036503	0	0.080756	0	1
PCiC	5479	0.49997	27395	0.11279	0	Pharmacologic Class - includes - Compound	0.00036503	0	0.067433	0	1
PCiC	5479	0.59996	32874	0.11334	0	Pharmacologic Class - includes - Compound	0	0	0.061958	0	1
PCiC	5479	0.69995	38353	0.11206	0	Pharmacologic Class - includes - Compound	0	0	0.061411	0	1
PCiC	5479	0.79995	43832	0.11188	0	Pharmacologic Class - includes - Compound	0	0	0.060863	0	1
PCiC	5479	0.89994	49311	0.11845	0	Pharmacologic Class - includes - Compound	0.00036503	0	0.062688	0	1
PCiC	5479	0.99993	54790	0.11498	0	Pharmacologic Class - includes - Compound	0	0	0.059951	0	1
PCiC	4	1	54794	0.25	0	Pharmacologic Class - includes - Compound	0	0	0.059859	0	1
GpCC	36784	0.1	36783	0.11138	0	Gene - participates - Cellular Component	0	0	0.42465	0	1
GpCC	36783	0.2	73566	0.10967	0	Gene - participates - Cellular Component	0	0	0.20085	0	1
GpCC	36783	0.3	110349	0.11386	0	Gene - participates - Cellular Component	5.4373e-05	0	0.11311	0	1
GpCC	36783	0.4	147132	0.116	0	Gene - participates - Cellular Component	0	0	0.079276	0	1
GpCC	36783	0.5	183915	0.11698	0	Gene - participates - Cellular Component	0	0	0.06692	0	1
GpCC	36783	0.6	220698	0.11062	0	Gene - participates - Cellular Component	2.7186e-05	0	0.062012	0	1
GpCC	36783	0.7	257481	0.11331	0	Gene - participates - Cellular Component	2.7186e-05	0	0.058097	0	1
GpCC	36783	0.8	294264	0.11614	0	Gene - participates - Cellular Component	2.7186e-05	0	0.058397	0	1
GpCC	36783	0.9	331047	0.11644	0	Gene - participates - Cellular Component	5.4373e-05	0	0.058478	0	1
GpCC	36782	1	367829	0.11438	0	Gene - participates - Cellular Component	0	0	0.057608	0	1
DaG	6312	0.10001	6311	0.21214	0	Disease - associates - Gene	0.00031686	0	0.47675	0	1
DaG	6311	0.2	12622	0.20995	0	Disease - associates - Gene	0	0	0.26285	0	1
DaG	6311	0.29999	18933	0.21581	0	Disease - associates - Gene	0	0	0.1731	0	1
DaG	6311	0.39998	25244	0.21058	0	Disease - associates - Gene	0.00015845	0	0.13769	0	1
DaG	6311	0.49998	31555	0.21074	0	Disease - associates - Gene	0.00047536	0	0.12303	0	1
DaG	6311	0.59997	37866	0.21169	0	Disease - associates - Gene	0	0	0.11503	0	1
DaG	6311	0.69996	44177	0.20076	0	Disease - associates - Gene	0	0	0.11186	0	1
DaG	6311	0.79995	50488	0.20219	0	Disease - associates - Gene	0	0	0.11495	0	1
DaG	6311	0.89994	56799	0.20948	0	Disease - associates - Gene	0.00031691	0	0.11218	0	1
DaG	6311	0.99994	63110	0.2258	0	Disease - associates - Gene	0	0	0.11273	0	1
DaG	4	1	63114	0	0	Disease - associates - Gene	0	0	0.11273	0	1
DrD	272	0.10018	271	0.19485	0	Disease - resembles - Disease	0	0.018382	0.49724	0.051471	1
DrD	271	0.2	542	0.22878	0	Disease - resembles - Disease	0.0073801	0.0073801	0.2965	0.059041	1
DrD	271	0.29982	813	0.26568	0	Disease - resembles - Disease	0	0.01107	0.21363	0.02583	1
DrD	271	0.39963	1084	0.22509	0	Disease - resembles - Disease	0	0.02583	0.186	0.062731	1
DrD	271	0.49945	1355	0.2583	0	Disease - resembles - Disease	0	0.01845	0.15101	0.02952	1
DrD	271	0.59926	1626	0.20664	0	Disease - resembles - Disease	0.00369	0.01845	0.15838	0.055351	1
DrD	271	0.69908	1897	0.21771	0	Disease - resembles - Disease	0.00369	0.01845	0.16943	0.055351	1
DrD	271	0.7989	2168	0.21771	0	Disease - resembles - Disease	0.0073801	0.02214	0.16759	0.04428	1
DrD	271	0.89871	2439	0.21771	0	Disease - resembles - Disease	0	0.00369	0.1547	0.062731	1
DrD	271	0.99853	2710	0.20664	0	Disease - resembles - Disease	0	0.01845	0.1547	0.04797	1
DrD	4	1	2714	0	0	Disease - resembles - Disease	0	0	0.15654	0	1
CcSE	69473	0.1	69472	0.60328	0	Compound - causes - Side Effect	0	0	0.705	0	1
CcSE	69472	0.2	138944	0.60371	0	Compound - causes - Side Effect	1.4394e-05	0	0.54575	0	1
CcSE	69472	0.3	208416	0.59807	0	Compound - causes - Side Effect	1.4394e-05	0	0.45655	0	1
CcSE	69472	0.4	277888	0.60295	0	Compound - causes - Side Effect	0	0	0.40724	0	1
CcSE	69472	0.5	347360	0.60088	0	Compound - causes - Side Effect	1.4394e-05	0	0.38164	0	1
CcSE	69472	0.6	416832	0.60504	0	Compound - causes - Side Effect	1.4394e-05	0	0.36482	0	1
CcSE	69472	0.7	486304	0.59857	0	Compound - causes - Side Effect	0	0	0.35563	0	1
CcSE	69472	0.8	555776	0.60206	0	Compound - causes - Side Effect	1.4394e-05	0	0.3498	0	1
CcSE	69472	0.9	625248	0.60016	0	Compound - causes - Side Effect	0	0	0.34684	0	1
CcSE	69471	1	694719	0.60026	0	Compound - causes - Side Effect	0	0	0.34504	0	1
DuG	25144	0.1	25143	0.44213	0	Disease - upregulates - Gene	3.9771e-05	0	0.60859	0	1
DuG	25143	0.2	50286	0.43833	0	Disease - upregulates - Gene	0	0	0.42874	0	1
DuG	25143	0.3	75429	0.43933	0	Disease - upregulates - Gene	0	0	0.34076	0	1
DuG	25143	0.4	100572	0.43555	0	Disease - upregulates - Gene	3.9773e-05	0	0.30129	0	1
DuG	25143	0.49999	125715	0.43535	0	Disease - upregulates - Gene	0	0	0.28138	0	1
DuG	25143	0.59999	150858	0.44171	0	Disease - upregulates - Gene	0	0	0.27361	0	1
DuG	25143	0.69999	176001	0.43762	0	Disease - upregulates - Gene	3.9773e-05	0	0.26746	0	1
DuG	25143	0.79999	201144	0.43483	0	Disease - upregulates - Gene	0	0	0.26655	0	1
DuG	25143	0.89999	226287	0.43539	0	Disease - upregulates - Gene	0	0	0.26695	0	1
DuG	25143	0.99998	251430	0.43249	0	Disease - upregulates - Gene	0	0	0.26673	0	1
DuG	4	1	251434	0.5	0	Disease - upregulates - Gene	0	0	0.26673	0	1
DpS	1679	0.10003	1678	0.28946	0	Disease - presents - Symptom	0.00059559	0	0.52338	0	1
DpS	1678	0.2	3356	0.29261	0	Disease - presents - Symptom	0.00059595	0	0.31189	0	1
DpS	1678	0.29997	5034	0.31585	0	Disease - presents - Symptom	0.00059595	0	0.23235	0	1
DpS	1678	0.39994	6712	0.28486	0	Disease - presents - Symptom	0.00059595	0	0.19363	0	1
DpS	1678	0.49991	8390	0.31168	0	Disease - presents - Symptom	0.00059595	0	0.17843	0	1
DpS	1678	0.59988	10068	0.28367	0	Disease - presents - Symptom	0.00059595	0	0.17069	0	1
DpS	1678	0.69985	11746	0.30095	0	Disease - presents - Symptom	0	0	0.16026	0	1
DpS	1678	0.79982	13424	0.29619	0	Disease - presents - Symptom	0	0	0.16413	0	1
DpS	1678	0.89979	15102	0.29619	0	Disease - presents - Symptom	0.00059595	0	0.1546	0	1
DpS	1678	0.99976	16780	0.2944	0	Disease - presents - Symptom	0.00059595	0	0.15996	0	1
DpS	4	1	16784	0.25	0	Disease - presents - Symptom	0	0	0.15996	0	1
CpD	196	0.10051	195	0.15306	0	Compound - palliates - Disease	0	0	0.44615	0	1
CpD	195	0.20051	390	0.14872	0	Compound - palliates - Disease	0	0	0.25897	0	1
CpD	195	0.30051	585	0.17949	0	Compound - palliates - Disease	0.0051282	0	0.15385	0	1
CpD	195	0.40051	780	0.12308	0	Compound - palliates - Disease	0	0	0.14359	0	1
CpD	195	0.50051	975	0.1641	0	Compound - palliates - Disease	0	0	0.13077	0	1
CpD	195	0.60051	1170	0.16923	0	Compound - palliates - Disease	0.0051282	0	0.11795	0	1
CpD	195	0.70051	1365	0.20513	0	Compound - palliates - Disease	0.0051282	0	0.10769	0	1
CpD	195	0.80051	1560	0.13846	0	Compound - palliates - Disease	0.0051282	0	0.097436	0	1
CpD	195	0.90051	1755	0.11795	0	Compound - palliates - Disease	0	0	0.11795	0	1
CpD	194	1	1949	0.11856	0	Compound - palliates - Disease	0.0051546	0	0.10513	0	1
GcG	30846	0.1	30845	0.052649	0	Gene - covaries - Gene	0	0.0008429	0.39989	0.010796	1
GcG	30845	0.2	61690	0.049765	0	Gene - covaries - Gene	3.242e-05	0.00074566	0.17014	0.011769	1
GcG	30845	0.3	92535	0.046166	0	Gene - covaries - Gene	0	0.0006484	0.083077	0.011185	1
GcG	30845	0.4	123380	0.046523	0	Gene - covaries - Gene	0	0.00058356	0.049538	0.011801	1
GcG	30845	0.5	154225	0.045129	0	Gene - covaries - Gene	0	0.00055114	0.036667	0.012806	1
GcG	30845	0.6	185070	0.048112	0	Gene - covaries - Gene	6.484e-05	0.0004863	0.031172	0.012676	1
GcG	30845	0.7	215915	0.046588	0	Gene - covaries - Gene	0	0.00087534	0.029259	0.012287	1
