source	target	source_abbrev	target_abbrev	length	metapaths
Anatomy	Anatomy	A	A	1	0
Anatomy	Anatomy	A	A	2	10
Anatomy	Anatomy	A	A	3	55
Anatomy	Anatomy	A	A	4	583
Anatomy	Biological Process	A	BP	1	0
Anatomy	Biological Process	A	BP	2	3
Anatomy	Biological Process	A	BP	3	15
Anatomy	Biological Process	A	BP	4	165
Anatomy	Cellular Component	A	CC	1	0
Anatomy	Cellular Component	A	CC	2	3
Anatomy	Cellular Component	A	CC	3	15
Anatomy	Cellular Component	A	CC	4	165
Anatomy	Compound	A	C	1	0
Anatomy	Compound	A	C	2	11
Anatomy	Compound	A	C	3	76
Anatomy	Compound	A	C	4	769
Anatomy	Disease	A	D	1	1
Anatomy	Disease	A	D	2	10
Anatomy	Disease	A	D	3	88
Anatomy	Disease	A	D	4	800
Anatomy	Gene	A	G	1	3
Anatomy	Gene	A	G	2	15
Anatomy	Gene	A	G	3	165
Anatomy	Gene	A	G	4	1377
Anatomy	Molecular Function	A	MF	1	0
Anatomy	Molecular Function	A	MF	2	3
Anatomy	Molecular Function	A	MF	3	15
Anatomy	Molecular Function	A	MF	4	165
Anatomy	Pathway	A	PW	1	0
Anatomy	Pathway	A	PW	2	3
Anatomy	Pathway	A	PW	3	15
Anatomy	Pathway	A	PW	4	165
Anatomy	Pharmacologic Class	A	PC	1	0
Anatomy	Pharmacologic Class	A	PC	2	0
Anatomy	Pharmacologic Class	A	PC	3	11
Anatomy	Pharmacologic Class	A	PC	4	76
Anatomy	Side Effect	A	SE	1	0
Anatomy	Side Effect	A	SE	2	0
Anatomy	Side Effect	A	SE	3	11
Anatomy	Side Effect	A	SE	4	76
Anatomy	Symptom	A	S	1	0
Anatomy	Symptom	A	S	2	1
Anatomy	Symptom	A	S	3	10
Anatomy	Symptom	A	S	4	88
Biological Process	Biological Process	BP	BP	1	0
Biological Process	Biological Process	BP	BP	2	1
Biological Process	Biological Process	BP	BP	3	4
Biological Process	Biological Process	BP	BP	4	47
Biological Process	Cellular Component	BP	CC	1	0
Biological Process	Cellular Component	BP	CC	2	1
Biological Process	Cellular Component	BP	CC	3	4
Biological Process	Cellular Component	BP	CC	4	47
Biological Process	Compound	BP	C	1	0
Biological Process	Compound	BP	C	2	3
Biological Process	Compound	BP	C	3	21
